ID;Case Number;Date;Block;IUCR;Primary Type;Description;Location Description;Arrest;Domestic;Beat;District;Ward;Community Area;FBI Code; X Coordinate;Y Coordinate;Year;Updated on;Latitude;Longitude;Location
13743121;JJ142561;02/07/2025 21.08;0000X S PEORIA ST;1320;CRIMINAL DAMAGE;TO VEHICLE;PARKING LOT / GARAGE (NON RESIDENTIAL);FALSE;FALSE;1232;12;34;28;14;1170421;1900031;2025;2025 Feb 15 03:41:40 PM;41.88117323;-87.64968181;POINT (-87.649681813 41.881173225)
13743110;JJ142451;02/07/2025 21.05;034XX N KENTON AVE;498;BATTERY;AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY;RESIDENCE;FALSE;TRUE;1731;17;30;16;04B;1145116;1922479;2025;2025 Feb 15 03:41:40 PM;41.94328844;-87.74203266;POINT (-87.742032655 41.943288435)
13743071;JJ142458;02/07/2025 21.01;008XX E 63RD ST;1811;NARCOTICS;POSSESS - CANNABIS 30 GRAMS OR LESS;PARKING LOT / GARAGE (NON RESIDENTIAL);TRUE;FALSE;313;3;20;42;18;1182859;1863417;2025;2025 Feb 15 03:41:40 PM;41.78042099;-87.60515044;POINT (-87.605150435 41.780420985)
13743098;JJ142508;02/07/2025 21.00;008XX N DEARBORN ST;545;ASSAULT;PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY;APARTMENT;FALSE;FALSE;1832;18;42;8;08A;1175793;1905850;2025;2025 Feb 15 03:41:40 PM;41.89702176;-87.62978114;POINT (-87.629781141 41.897021755)
13743264;JJ142702;02/07/2025 21.00;049XX S MILLARD AVE;1320;CRIMINAL DAMAGE;TO VEHICLE;APARTMENT;FALSE;FALSE;821;8;14;62;14;1152825;1871399;2025;2025 Feb 15 03:41:40 PM;41.80296994;-87.71505034;POINT (-87.715050339 41.802969939)
13743496;JJ142901;02/07/2025 21.00;041XX W NELSON ST;820;THEFT;$500 AND UNDER;APARTMENT;FALSE;TRUE;2523;25;31;21;6;1148297;1919959;2025;2025 Feb 15 03:41:40 PM;41.93631253;-87.73040591;POINT (-87.730405909 41.936312532)
13743553;JJ143052;02/07/2025 21.00;028XX W MC LEAN AVE;2825;OTHER OFFENSE;HARASSMENT BY TELEPHONE;APARTMENT;FALSE;FALSE;1414;14;1;22;26;1157133;1913544;2025;2025 Feb 15 03:41:40 PM;41.91853418;-87.6981072;POINT (-87.6981072 41.91853418)
13743654;JJ143141;02/07/2025 21.00;016XX N MEYER AVE;1320;CRIMINAL DAMAGE;TO VEHICLE;STREET;FALSE;FALSE;1813;18;43;7;14;1172550;1911283;2025;2025 Feb 15 03:41:40 PM;41.91200256;-87.64153116;POINT (-87.641531159 41.912002556)
13743832;JJ142674;02/07/2025 21.00;013XX N ELSTON AVE;820;THEFT;$500 AND UNDER;OTHER (SPECIFY);FALSE;FALSE;1433;14;27;24;6;1167586;1909274;2025;2025 Feb 15 03:41:40 PM;41.90659816;-87.6598253;POINT (-87.659825297 41.906598157)
13745115;JJ144842;02/07/2025 21.00;009XX W WILSON AVE;1310;CRIMINAL DAMAGE;TO PROPERTY;SCHOOL - PUBLIC BUILDING;FALSE;FALSE;1914;19;46;3;14;1169275;1930737;2025;2025 Feb 15 03:41:40 PM;41.96545704;-87.65299528;POINT (-87.652995284 41.965457044)
13743087;JJ142435;02/07/2025 20.57;076XX S DR MARTIN LUTHER KING JR DR;143A;WEAPONS VIOLATION;UNLAWFUL POSSESSION - HANDGUN;VEHICLE NON-COMMERCIAL;TRUE;FALSE;623;6;6;69;15;1180228;1854481;2025;2025 Feb 15 03:41:40 PM;41.75596041;-87.61506962;POINT (-87.615069618 41.755960412)
13743051;JJ142426;02/07/2025 20.52;054XX N CLARK ST;860;THEFT;RETAIL THEFT;CONVENIENCE STORE;FALSE;FALSE;2012;20;40;77;6;1165048;1936387;2025;2025 Feb 15 03:41:40 PM;41.9810519;-87.66837572;POINT (-87.668375719 41.981051896)
13743015;JJ142421;02/07/2025 20.50;075XX N DAMEN AVE;486;BATTERY;DOMESTIC BATTERY SIMPLE;APARTMENT;FALSE;TRUE;2424;24;49;1;08B;1161660;1949976;2025;2025 Feb 15 03:41:40 PM;42.01841202;-87.6804546;POINT (-87.680454604 42.018412017)
13743176;JJ142533;02/07/2025 20.48;028XX E 94TH ST;910;MOTOR VEHICLE THEFT;AUTOMOBILE;STREET;FALSE;FALSE;423;4;7;48;7;1196828;1843185;2025;2025 Feb 15 03:41:40 PM;41.72456688;-87.55461005;POINT (-87.554610052 41.724566881)
13743048;JJ142419;02/07/2025 20.47;039XX W 57TH PL;486;BATTERY;DOMESTIC BATTERY SIMPLE;RESIDENCE;FALSE;TRUE;822;8;23;62;08B;1151153;1866185;2025;2025 Feb 15 03:41:40 PM;41.78869479;-87.72131854;POINT (-87.721318538 41.788694785)
13745611;JJ144816;02/07/2025 20.45;041XX N PAULINA ST;810;THEFT;OVER $500;STREET;FALSE;FALSE;1912;19;47;6;6;1164487;1927513;2025;2025 Feb 15 03:41:40 PM;41.95671322;-87.67069131;POINT (-87.670691305 41.956713224)
13743116;JJ142433;02/07/2025 20.40;0000X W 37TH ST;143A;WEAPONS VIOLATION;UNLAWFUL POSSESSION - HANDGUN;STREET;TRUE;FALSE;213;2;3;35;15;1176453;1880461;2025;2025 Feb 15 03:41:40 PM;41.82733779;-87.62812305;POINT (-87.628123054 41.827337788)
13743782;JJ142428;02/07/2025 20.40;091XX S YATES BLVD;486;BATTERY;DOMESTIC BATTERY SIMPLE;STREET;FALSE;TRUE;423;4;7;48;08B;1193760;1844768;2025;2025 Feb 15 03:41:40 PM;41.72898639;-87.56579618;POINT (-87.565796177 41.728986389)
13745439;JJ142407;02/07/2025 20.40;022XX E 103RD ST;1780;OFFENSE INVOLVING CHILDREN;OTHER OFFENSE;POLICE FACILITY / VEHICLE PARKING LOT;FALSE;FALSE;434;4;7;51;20;1192874;1837123;2025;2025 Feb 15 03:41:40 PM;41.70802939;-87.56929028;POINT (-87.569290282 41.708029389)
13743056;JJ142416;02/07/2025 20.30;071XX S SANGAMON ST;4387;OTHER OFFENSE;VIOLATE ORDER OF PROTECTION;APARTMENT;TRUE;TRUE;733;7;17;68;26;1171212;1857414;2025;2025 Feb 15 03:41:40 PM;41.76421075;-87.6480255;POINT (-87.648025495 41.764210745)
13743068;JJ142436;02/07/2025 20.30;051XX W WINDSOR AVE;560;ASSAULT;SIMPLE;APARTMENT;FALSE;FALSE;1623;16;45;15;08A;1141353;1929767;2025;2025 Feb 15 03:41:40 PM;41.96335777;-87.7556832;POINT (-87.755683203 41.963357768)
13743379;JJ142864;02/07/2025 20.30;072XX S UNION AVE;810;THEFT;OVER $500;STREET;FALSE;FALSE;732;7;6;68;6;1173000;1856957;2025;2025 Feb 15 03:41:40 PM;41.76291741;-87.64148553;POINT (-87.641485525 41.762917405)
13743410;JJ142916;02/07/2025 20.30;057XX W WASHINGTON BLVD;710;THEFT;THEFT FROM MOTOR VEHICLE;STREET;FALSE;FALSE;1512;15;29;25;6;1138026;1900164;2025;2025 Feb 15 03:41:40 PM;41.88218473;-87.76863238;POINT (-87.768632376 41.882184727)
13743861;JJ142474;02/07/2025 20.30;091XX S YATES BLVD;460;BATTERY;SIMPLE;RESIDENCE;FALSE;TRUE;423;4;7;48;08B;1193760;1844782;2025;2025 Feb 15 03:41:40 PM;41.72902481;-87.56579572;POINT (-87.56579572 41.729024806)
13743044;JJ142409;02/07/2025 20.24;062XX N LINCOLN AVE;860;THEFT;RETAIL THEFT;SMALL RETAIL STORE;TRUE;FALSE;1711;17;50;13;6;1152477;1941288;2025;2025 Feb 15 03:41:40 PM;41.99475899;-87.7144777;POINT (-87.7144777 41.994758989)
13743038;JJ142398;02/07/2025 20.10;045XX N BROADWAY;560;ASSAULT;SIMPLE;DEPARTMENT STORE;FALSE;FALSE;1914;19;46;3;08A;1168212;1930388;2025;2025 Feb 15 03:41:40 PM;41.96452247;-87.65691381;POINT (-87.656913808 41.964522471)
13743082;JJ142422;02/07/2025 20.09;001XX W 35TH ST;143A;WEAPONS VIOLATION;UNLAWFUL POSSESSION - HANDGUN;CTA TRAIN;TRUE;FALSE;915;9;11;34;15;1175739;1881773;2025;2025 Feb 15 03:41:40 PM;41.83095408;-87.63070323;POINT (-87.630703226 41.830954079)
13743442;JJ142921;02/07/2025 20.07;014XX W 108TH ST;4386;OTHER OFFENSE;VIOLATION OF CIVIL NO CONTACT ORDER;RESIDENCE;FALSE;FALSE;2234;22;21;75;26;1168592;1833136;2025;2025 Feb 15 03:41:40 PM;41.69764524;-87.65832628;POINT (-87.65832628 41.697645241)
